# ID, Label, Sum, Omnivariance, Eigenentropy, Linearity, Planarity, Sphericity, Anisotropy,Relative Height, Area Bounding Box, Area Oriented Bounding Box, Aspect Ratio, Density m2,Density m3, Area Convex Hull, Shape Index , Distance Z, Distance XY
   0.00000,   0.00000,  11.28646,   1.72125,   0.52471,   0.78183,   0.18642,   0.03175,   0.96825,   5.02000,  48.73193,  48.59791,   2.26223,  37.22382,   7.41510,  46.98954,   1.64152,   0.78338,   0.10196
   1.00000,   0.00000,  10.58098,   2.29554,   0.69961,   0.64016,   0.27412,   0.08572,   0.91428,   3.60000,  64.71548,  64.69690,   1.72491,  32.08809,   8.91336,  53.22318,   1.86922,   0.71518,   0.63249
   2.00000,   0.00000,  40.79018,   8.79732,   0.75169,   0.35727,   0.56296,   0.07977,   0.92023,   7.49000, 273.66232, 273.37949,   1.06286,  32.74569,   4.37192, 239.90445,   4.01883,   1.16139,   0.60965
   3.00000,   0.00000,  46.33735,   9.32391,   0.72475,   0.40345,   0.53421,   0.06235,   0.93765,   7.07000, 354.43005, 298.07703,   1.36617,  34.48438,   4.87756, 265.78952,   4.28723,   0.92127,   0.56068
   4.00000,   0.00000,  53.85738,   7.27928,   0.64185,   0.44432,   0.53838,   0.01729,   0.98271,   5.21000, 520.88232, 361.61670,   1.30781,  33.52998,   6.43570, 332.97028,   4.87980,   0.67821,   0.13652
   5.00000,   0.00000,  17.64779,   2.69725,   0.59843,   0.64829,   0.32513,   0.02658,   0.97342,   3.70000, 122.57656, 122.14171,   1.60563,  27.70552,   7.48798, 102.33717,   2.63021,   0.57665,   0.72084
   6.00000,   0.00000,  14.42233,   2.06413,   0.67769,   0.19711,   0.78070,   0.02220,   0.97780,   1.66000,  88.37688,  87.03230,   1.11088,  37.18160,  22.39856,  85.87453,   2.36997,   0.06016,   0.06752
   7.00000,   0.00000,  68.31511,   6.98133,   0.52229,   0.70036,   0.29168,   0.00796,   0.99204,   3.75000, 424.71246, 416.78601,   1.63382,  30.87915,   8.23444, 365.96097,   4.82694,  -0.54290,   1.62728
   8.00000,   0.00000,  38.76576,   5.83068,   0.63371,   0.53995,   0.43587,   0.02418,   0.97582,   5.77000, 270.18765, 268.79688,   1.40793,  28.75405,   4.98337, 227.85353,   3.97012,   0.40503,   0.80286
   9.00000,   0.00000,  37.27874,   5.80283,   0.51417,   0.80416,   0.15984,   0.03600,   0.96400,   6.66000, 189.34543, 186.41302,   2.03308,  29.85306,   4.48244, 180.44446,   3.25629,   1.23167,   0.88902
  10.00000,   0.00000,  32.71294,   4.26468,   0.63797,   0.44327,   0.54127,   0.01547,   0.98453,   3.59000, 201.38400, 201.05403,   1.32188,  35.71677,   9.94896, 192.89429,   3.51677,   0.23706,   0.24376
  11.00000,   0.00000,  45.62119,   8.36379,   0.67593,   0.53130,   0.42304,   0.04566,   0.95434,   6.65000, 343.25586, 342.57379,   1.17325,  28.59238,   4.29961, 277.18469,   4.48349,   0.27894,   0.49693
  12.00000,   0.00000,   9.36505,   1.76237,   0.64141,   0.66435,   0.28246,   0.05319,   0.94681,   4.32000,  54.77911,  54.67242,   1.62228,  34.82560,   8.06148,  50.15804,   1.82713,   0.60027,   0.20026
  13.00000,   0.00000,  28.20518,   4.16106,   0.68174,   0.19554,   0.78005,   0.02442,   0.97558,   5.85000, 205.19673, 204.87260,   1.01255,  29.46709,   5.03711, 172.55748,   3.39995,   0.34975,   1.13572
  14.00000,   0.00000,  31.52839,   4.96435,   0.67942,   0.33874,   0.63278,   0.02848,   0.97152,   4.82000, 192.88675, 192.86061,   1.20695,  37.23933,   7.72600, 184.25580,   3.53537,   0.97574,   0.34041
  15.00000,   0.00000, 144.08492,  20.75983,   0.60223,   0.61444,   0.36394,   0.02162,   0.97838,   9.57000, 940.22473, 938.75989,   1.12863,  28.07214,   2.93335, 765.83606,   7.11978,   1.95499,   3.31955
  16.00000,   0.00000,  24.67923,   5.08602,   0.69860,   0.57599,   0.35536,   0.06865,   0.93135,   5.06000, 157.69583, 153.17842,   1.52831,  35.11591,   6.93990, 137.01289,   3.09228,   0.63835,   0.48443
  17.00000,   0.00000,  36.53560,   3.42616,   0.57216,   0.58546,   0.40884,   0.00570,   0.99430,   2.72000, 253.94977, 248.74402,   1.28255,  28.18158,  10.36088, 208.93623,   3.64275,   0.59926,   1.69109
  18.00000,   0.00000,   5.77375,   1.14679,   0.66222,   0.65471,   0.28185,   0.06344,   0.93656,   2.92000,  34.45442,  34.33492,   1.75502,  32.56160,  11.15123,  31.18900,   1.37856,   0.74729,   0.13612
  19.00000,   0.00000,  26.54847,   4.70439,   0.71224,   0.20217,   0.75428,   0.04354,   0.95646,   5.88000, 174.90076, 174.80589,   1.00500,  34.42676,   5.85489, 157.60658,   3.30481,   0.93954,   0.51557
  20.00000,   0.00000,  29.59157,   6.10359,   0.70091,   0.56808,   0.36328,   0.06865,   0.93135,   6.99000, 178.79485, 178.79485,   1.37336,  34.15087,   4.88568, 159.40784,   3.24226,   1.39030,   0.66935
  21.00000,   0.00000,  36.55364,   4.12130,   0.49461,   0.75552,   0.23286,   0.01162,   0.98838,   4.37000, 244.08452, 233.04501,   1.74592,  28.35933,   6.48955, 188.95256,   3.48071,   0.69954,   0.72742
  22.00000,   0.00000,  97.81700,  16.02564,   0.54132,   0.78420,   0.17540,   0.04039,   0.95961,   8.13000, 533.14563, 532.74542,   2.25950,  33.91488,   4.17157, 470.96478,   5.41044,   0.58294,   0.29406
  23.00000,   0.00000,  66.30405,  14.28911,   0.76289,   0.20013,   0.71626,   0.08361,   0.91639,   8.38000, 417.01733, 407.14084,   1.18168,  35.32193,   4.21503, 389.76498,   5.05520,   1.61551,   0.09856
  24.00000,   0.00000,  36.89111,   4.76300,   0.62573,   0.49357,   0.49147,   0.01497,   0.98503,   4.66000, 248.61133, 247.90417,   1.08490,  30.60053,   6.56664, 215.41841,   3.80291,   0.93702,   1.21894
  25.00000,   0.00000,  16.20178,   2.49753,   0.68254,   0.27499,   0.69783,   0.02718,   0.97282,   2.12000, 120.51460, 120.43977,   1.25566,  28.57030,  13.47656, 110.51012,   2.74039,   0.11585,   0.75793
  26.00000,   0.00000,  40.97688,  10.46829,   0.83028,   0.14346,   0.69704,   0.15950,   0.84050,   7.72000, 370.82877, 296.02133,   1.08725,  32.90979,   4.26293, 249.50665,   4.32931,   0.64918,   0.61947
  27.00000,   0.00000,  12.17266,   1.43325,   0.60460,   0.53743,   0.45127,   0.01130,   0.98870,   3.03000,  93.54557,  93.26343,   1.24106,  23.52476,   7.76395,  80.21077,   2.35635,   0.54201,   0.86051
