Feature1 Feature2 Feature3 Feature4 Label
0.524708 0.031748 0.968252 5.020000 0.000000
0.699611 0.085719 0.914281 3.600000 0.000000
0.751689 0.079769 0.920231 7.490000 0.000000
0.724749 0.062347 0.937653 7.070000 0.000000
0.641846 0.017293 0.982707 5.210000 0.000000
0.598431 0.026578 0.973422 3.700000 0.000000
0.677689 0.022197 0.977803 1.660000 0.000000
0.522295 0.007963 0.992037 3.750000 0.000000
0.633710 0.024183 0.975817 5.770000 0.000000
0.514167 0.035999 0.964001 6.660000 0.000000
0.637968 0.015466 0.984534 3.590000 0.000000
0.675933 0.045656 0.954344 6.650001 0.000000
0.641414 0.053190 0.946810 4.320000 0.000000
0.681744 0.024416 0.975584 5.849999 0.000000
0.679419 0.028482 0.971518 4.820000 0.000000
0.602229 0.021616 0.978384 9.570000 0.000000
0.698596 0.068651 0.931349 5.060000 0.000000
0.572162 0.005699 0.994301 2.720000 0.000000
0.662216 0.063443 0.936557 2.920000 0.000000
0.712244 0.043542 0.956458 5.880000 0.000000
0.700914 0.068646 0.931354 6.990000 0.000000
0.494608 0.011618 0.988382 4.369999 0.000000
0.541318 0.040395 0.959605 8.130000 0.000000
0.762885 0.083610 0.916390 8.380000 0.000000
0.625733 0.014965 0.985035 4.660000 0.000000
0.682542 0.027180 0.972820 2.120000 0.000000
0.830284 0.159500 0.840500 7.720000 0.000000
0.604598 0.011298 0.988702 3.030000 0.000000
0.697078 0.039152 0.960848 5.610001 0.000000
0.539402 0.007339 0.992661 4.310000 0.000000
0.717009 0.047404 0.952596 7.489999 0.000000
0.707252 0.073245 0.926755 7.640000 0.000000
0.449651 0.002676 0.997324 3.530000 0.000000
0.945083 0.431511 0.568489 6.900000 0.000000
0.592819 0.011465 0.988535 8.350000 0.000000
0.741675 0.069937 0.930063 6.740000 0.000000
0.799138 0.120212 0.879788 7.290000 0.000000
0.724012 0.059187 0.940813 6.930000 0.000000
0.526229 0.012000 0.988000 5.820000 0.000000
0.678122 0.059328 0.940672 2.850000 0.000000
0.583571 0.047875 0.952125 3.440001 0.000000
0.659528 0.046481 0.953519 3.500000 0.000000
0.435315 0.010169 0.989831 6.760000 0.000000
0.698112 0.042446 0.957554 8.130001 0.000000
0.565250 0.008751 0.991249 4.830000 0.000000
0.717728 0.052951 0.947049 6.610001 0.000000
0.695710 0.095957 0.904043 8.290000 0.000000
0.577632 0.038665 0.961335 8.000000 0.000000
0.684008 0.048108 0.951892 5.520000 0.000000
0.662403 0.053624 0.946376 7.570001 0.000000
0.608796 0.010686 0.989314 4.890000 0.000000
0.638998 0.021199 0.978801 4.820000 0.000000
0.768528 0.097763 0.902237 9.350000 0.000000
0.716664 0.046020 0.953980 4.150000 0.000000
0.803824 0.133617 0.866383 10.970000 0.000000
0.759908 0.080842 0.919158 9.150000 0.000000
0.576922 0.021615 0.978385 4.780000 0.000000
0.722905 0.068040 0.931960 6.450000 0.000000
0.575347 0.033750 0.966250 3.580000 0.000000
0.665941 0.024992 0.975008 4.300000 0.000000
0.193134 0.000656 0.999344 9.450000 0.000000
0.649812 0.024911 0.975089 4.850000 0.000000
0.685782 0.040172 0.959828 5.329999 0.000000
0.685909 0.032787 0.967213 3.710000 0.000000
0.570858 0.019960 0.980040 9.420000 0.000000
0.656987 0.022922 0.977078 1.500000 0.000000
0.332268 0.007397 0.992603 4.620000 0.000000
0.520079 0.053670 0.946330 7.139999 0.000000
0.769082 0.089289 0.910711 8.560000 0.000000
0.721853 0.079129 0.920871 7.490000 0.000000
0.655563 0.052716 0.947284 7.150001 0.000000
0.462291 0.019885 0.980115 2.760000 0.000000
0.599042 0.027460 0.972540 4.230000 0.000000
0.583159 0.059263 0.940737 10.210001 0.000000
0.658163 0.055324 0.944676 7.940000 0.000000
0.556133 0.022209 0.977791 4.370000 0.000000
0.794263 0.117497 0.882503 10.850000 0.000000
0.677914 0.048678 0.951322 7.139999 0.000000
0.698367 0.073046 0.926954 3.830000 0.000000
0.557239 0.016005 0.983995 1.840000 0.000000
0.710727 0.042954 0.957046 5.889999 0.000000
0.691404 0.078824 0.921176 5.530000 0.000000
0.658065 0.051540 0.948460 7.610000 0.000000
0.799227 0.125550 0.874450 8.250000 0.000000
0.839701 0.172387 0.827613 7.520000 0.000000
0.687434 0.037573 0.962427 5.830000 0.000000
0.837132 0.174424 0.825576 7.280000 0.000000
0.739080 0.065114 0.934886 7.550000 0.000000
0.669403 0.019928 0.980072 5.550000 0.000000
0.703652 0.039148 0.960852 5.180000 0.000000
0.702975 0.036632 0.963368 3.790000 0.000000
0.698737 0.058657 0.941343 7.050000 0.000000
0.629199 0.033431 0.966569 7.380001 0.000000
0.577664 0.006889 0.993111 5.450000 0.000000
0.568740 0.030366 0.969634 3.300000 0.000000
0.575515 0.009463 0.990537 4.340000 0.000000
0.806328 0.133727 0.866273 8.220000 0.000000
0.658144 0.041671 0.958329 7.080001 0.000000
0.550812 0.039004 0.960996 7.770000 0.000000
0.679486 0.045389 0.954611 8.360000 0.000000
0.452603 0.028476 0.971524 1.250000 1.000000
0.454981 0.031621 0.968379 1.509999 1.000000
0.544554 0.061578 0.938422 1.690000 1.000000
0.500560 0.032570 0.967430 1.250000 1.000000
0.423204 0.038945 0.961055 1.380000 1.000000
0.465355 0.023519 0.976481 0.960000 1.000000
0.329303 0.014523 0.985477 1.150000 1.000000
0.510816 0.024644 0.975356 1.090000 1.000000
0.566423 0.082396 0.917604 1.470000 1.000000
0.507567 0.026309 0.973691 0.990000 1.000000
0.495275 0.038789 0.961211 1.690000 1.000000
0.437068 0.022420 0.977580 1.120000 1.000000
0.422963 0.031834 0.968166 1.560000 1.000000
0.495398 0.026720 0.973280 1.000000 1.000000
0.455476 0.030166 0.969834 1.330000 1.000000
0.504970 0.044359 0.955641 1.379999 1.000000
0.596465 0.066609 0.933391 1.430000 1.000000
0.443848 0.024972 0.975028 1.090000 1.000000
0.457343 0.046187 0.953813 1.270000 1.000000
0.397709 0.019173 0.980827 1.030000 1.000000
0.449016 0.014193 0.985807 1.099999 1.000000
0.450321 0.030337 0.969663 1.259999 1.000000
0.536717 0.037629 0.962371 1.690001 1.000000
0.423900 0.024439 0.975561 1.240000 1.000000
0.479617 0.042178 0.957822 1.590000 1.000000
0.505031 0.043978 0.956022 1.430000 1.000000
0.607052 0.059552 0.940448 1.330000 1.000000
0.455040 0.024420 0.975580 1.330000 1.000000
0.530393 0.047947 0.952053 1.380000 1.000000
0.457141 0.040232 0.959768 1.480000 1.000000
0.474047 0.026410 0.973590 1.230000 1.000000
0.444362 0.029139 0.970861 1.300000 1.000000
0.566703 0.047226 0.952774 1.150000 1.000000
0.489959 0.035756 0.964244 1.510000 1.000000
0.472381 0.040758 0.959242 1.310000 1.000000
0.452872 0.032600 0.967400 1.660000 1.000000
0.482237 0.027337 0.972663 1.220000 1.000000
0.506322 0.040271 0.959729 1.030000 1.000000
0.457800 0.050743 0.949257 1.190000 1.000000
0.509664 0.037609 0.962391 1.480000 1.000000
0.494598 0.025387 0.974613 1.310000 1.000000
0.451460 0.019013 0.980987 0.980000 1.000000
0.408267 0.028347 0.971653 1.260000 1.000000
0.466092 0.029040 0.970960 1.850000 1.000000
0.449000 0.017900 0.982100 1.380000 1.000000
0.516214 0.056314 0.943686 1.630000 1.000000
0.504705 0.037972 0.962028 1.160000 1.000000
0.483689 0.035615 0.964385 1.809999 1.000000
